,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__maximum,0__minimum,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Defects
0,284.0259,0.9031,18.93506,15.0,33.00279352591838,1089.1843805144001,108.0,-0.2913,42,50,270900,270944,267,17,44,24220,76,108,1687,1,0,80,0.0498,0.2415,0.1818,0.0047,0.4706,1.0,1.0,2.4265,0.9031,1.6435,0.8182,-0.2913,0.5822,4
1,1511.1074999999998,0.7931,100.74049999999998,15.0,217.53022298176103,47319.39791049467,651.0,-0.1756,645,651,2538079,2538108,108,10,30,11397,84,123,1687,1,0,80,0.7647,0.3793,0.2069,0.0036,0.6,0.9667,1.0,2.0334,0.7782,1.4624,0.7931,-0.1756,0.2984,4
2,1895.9879999999998,0.9474,126.3992,15.0,279.3145633439784,78016.62529603734,835.0,-0.1228,829,835,1553913,1553931,71,8,19,7972,99,125,1623,1,0,100,0.971,0.3426,0.3333,0.0037,0.75,0.9474,1.0,1.8513,0.7782,1.2553,0.6667,-0.1228,0.215,4
3,1946.8166999999999,0.8451,129.78778,15.0,287.5441439923737,82681.63474430694,860.0,-0.1568,853,860,369370,369415,176,13,45,18996,99,126,1353,0,1,290,0.7287,0.4413,0.1556,0.0052,0.5385,1.0,1.0,2.2455,0.8451,1.6532,0.8444,-0.1568,0.5212,4
4,2768.6129,1.0,184.57419333333334,15.0,437.67639835526955,191560.6296772406,1306.0,-0.1992,1289,1306,498078,498335,2409,60,260,246930,37,126,1353,0,1,185,0.0695,0.4486,0.0662,0.0126,0.2833,0.9885,1.0,3.3818,1.2305,2.4099,0.9338,-0.1992,1.0,4
5,1072.0525999999998,1.0,71.47017333333332,15.0,146.74297399982714,21533.500418313946,441.0,-0.2267,430,441,100250,100337,630,20,87,62357,64,127,1387,0,1,40,0.62,0.3417,0.1264,0.0079,0.55,1.0,1.0,2.7993,1.0414,1.9395,0.8736,-0.2267,0.9874,4
6,1093.3051999999998,1.0,72.88701333333331,15.0,148.31392265015836,21997.019651877155,446.0,0.0795,413,446,138468,138883,9052,230,432,1481991,23,199,1687,0,1,150,0.4896,0.33899999999999997,0.0795,0.0196,0.1435,0.9607,1.0,3.9567,1.5185,2.6181,0.9205,0.2791,1.0,4
7,694.4159999999999,1.0,46.294399999999996,15.0,76.99448336059754,5928.150467965333,200.0,0.1841,190,200,210936,210956,132,11,20,20007,124,172,1687,0,1,150,0.2253,0.34,0.5,0.0059,0.9091,1.0,1.0,2.1206,1.0,1.301,0.5,0.1841,0.3359,4
8,882.8669,1.0,58.85779333333333,15.0,115.27077943458445,13287.35259145662,343.0,-0.1197,330,343,429227,429253,264,15,26,29748,53,148,1687,0,1,150,0.3912,0.2189,0.5,0.0077,0.8667,1.0,1.0,2.4216,1.1139,1.415,0.5,-0.1197,0.5593,4
9,370.37520000000006,1.0,24.691680000000005,15.0,42.9793518806601,1847.2246880816006,143.0,-0.0651,74,90,779144,779308,1506,46,167,180215,53,143,1687,0,1,150,0.0877,0.4261,0.0976,0.0095,0.3478,0.982,1.0,3.1778,1.2041,2.2148,0.9024,-0.0651,1.0,4
10,452.4391,1.0,30.162606666666665,15.0,50.168082324727365,2516.8364841406224,143.0,-0.1093,106,118,813452,813500,442,13,48,50393,76,143,1687,0,1,150,0.1257,0.2326,0.25,0.0071,0.9231,1.0,1.0,2.6454,1.0792,1.6812,0.75,-0.1093,0.8612,4
11,1245.3393999999998,0.9275,83.02262666666665,15.0,171.3557885354814,29362.80626461662,515.0,-0.1455,505,515,106604,106668,284,42,69,31062,97,119,1687,0,1,150,0.5987,0.5562,0.1563,0.0059,0.2381,0.9275,1.0,2.4533,1.0,1.8062,0.8438,-0.1455,0.9048,4
12,373.5245,1.0,24.901633333333333,15.0,45.87023437822057,2104.0784019128887,158.0,0.0086,46,58,179258,179312,480,15,54,61966,102,158,1687,0,1,150,0.0545,0.2593,0.2222,0.0071,0.8,1.0,1.0,2.6812,1.0792,1.7324,0.7778,0.0086,0.9093,4
13,1353.1968999999997,0.9542,90.21312666666664,15.0,196.59842376369983,38650.94022637129,590.0,-0.2978,581,590,230644,230704,433,22,60,38917,62,111,1687,0,1,150,0.6888,0.1981,0.15,0.0053,0.4091,1.0,1.0,2.6365,0.9542,1.7781,0.85,-0.2978,0.8299,4
14,1095.8269999999998,0.9888,73.05513333333332,15.0,154.812203708776,23966.81841716756,466.0,-0.2568,451,466,368143,368208,728,30,68,69258,36,133,1687,0,1,150,0.5347,0.2533,0.2308,0.0089,0.5,0.9559,1.0,2.8621,1.1761,1.8129,0.7692,-0.2568,0.9888,4
15,1547.674,1.0,103.17826666666666,15.0,227.4797427766047,51747.033373710234,684.0,-0.1487,669,684,491552,491684,1097,59,133,119540,50,134,1687,0,1,150,0.7931,0.446,0.1136,0.0089,0.2542,0.9925,1.0,3.0402,1.1761,2.1206,0.8864,-0.1487,1.0,4
16,513.3995000000001,1.0,34.22663333333334,15.0,65.43346969652627,4281.538956526222,192.0,-0.1157,156,192,713788,714056,5044,167,282,570911,11,143,1687,0,1,150,0.1849,0.4772,0.1343,0.0213,0.2156,0.9503,1.0,3.7028,1.5563,2.4281,0.8657,-0.1157,1.0,4
17,416.4843,0.9918,27.765620000000002,15.0,45.872531548385254,2104.2891506576,134.0,-0.1543,90,104,751059,751132,552,38,76,59750,79,134,1687,0,1,150,0.1067,0.4599,0.1918,0.0083,0.3684,0.9605,1.0,2.7419,1.1461,1.8633,0.8082,-0.1543,0.9918,4
18,396.7189,0.875,26.447926666666667,15.0,43.590803912545084,1900.158185741956,126.0,-0.1499,82,89,844704,844729,137,8,25,14907,92,126,1687,0,1,150,0.0972,0.2171,0.28,0.0041,0.875,1.0,1.0,2.1367,0.8451,1.3979,0.72,-0.1499,0.2998,4
19,3459.5368,1.0,230.63578666666666,15.0,541.3677233142046,293079.01184640516,1613.0,-0.0727,1601,1613,21349,21376,209,15,27,24807,96,141,1687,0,1,200,0.0877,0.3549,0.4444,0.0071,0.8,1.0,1.0,2.3201,1.0792,1.4314,0.5556,-0.0727,0.5362,4
20,281.4123,1.0,18.760820000000002,15.0,39.37453399853261,1550.3539276016006,141.0,-0.1031,17,28,42683,42717,284,18,34,32604,87,141,1687,0,1,200,0.0202,0.2406,0.3235,0.0065,0.6111,1.0,1.0,2.4533,1.0414,1.5315,0.6765,-0.1031,0.6173,4
21,338.0966,0.9542,22.539773333333336,15.0,40.906088778053025,1673.3080991179559,134.0,-0.0935,43,52,86284,86313,153,13,29,17753,101,134,1687,0,1,200,0.051,0.4138,0.3103,0.0053,0.6923,1.0,1.0,2.1847,0.9542,1.4624,0.6897,-0.0935,0.4317,4
22,399.92640000000006,0.9542,26.661760000000005,15.0,46.51053936383021,2163.2302719144,150.0,0.0192,63,72,115485,115504,106,10,19,13829,107,150,1687,0,1,200,0.0747,0.3801,0.4737,0.0053,0.9,1.0,1.0,2.0253,0.9542,1.2787,0.5263,0.0192,0.2942,4
23,415.69399999999996,1.0,27.712933333333332,15.0,46.20597895237753,2134.9924909475553,141.0,-0.0479,82,92,149044,149083,264,15,39,32175,92,141,1687,0,1,200,0.0972,0.3231,0.2564,0.0059,0.6667,1.0,1.0,2.4216,1.0,1.5911,0.7436,-0.0479,0.6422,4
24,438.2146000000001,0.9429,29.214306666666673,15.0,49.6135167882096,2461.501048093956,148.0,0.063,75,84,184350,184383,201,17,35,27349,123,148,1687,0,1,200,0.0889,0.3232,0.2727,0.0053,0.5294,0.9429,1.0,2.3032,0.9542,1.5185,0.7273,0.063,0.4913,4
25,2930.8312,1.0,195.38874666666666,15.0,460.85153411064437,212384.13649213442,1372.0,-0.2395,1363,1372,2128884,2128907,171,9,23,16645,77,111,1373,0,1,40,0.0015,0.1739,0.3913,0.0066,1.0,1.0,1.0,2.233,0.9542,1.3617,0.6087,-0.2395,0.3464,4
26,2931.9501,1.0,195.46334,15.0,459.92910614758557,211534.782681717,1372.0,-0.2341,1358,1372,2356396,2356435,395,19,39,38722,75,118,1373,0,1,40,0.0015,0.2766,0.359,0.0102,0.7368,1.0,1.0,2.5966,1.1461,1.5911,0.6409999999999999,-0.2341,0.8355,4
27,3037.1468000000004,0.7782,202.47645333333335,15.0,473.8455012642607,224529.5590683785,1410.0,-0.1776,1404,1410,5202306,5202324,85,9,18,8948,97,119,1627,0,1,40,0.2668,0.213,0.3333,0.0037,0.6667,1.0,1.0,1.9294,0.7782,1.2553,0.6667,-0.1776,0.215,4
